episode_idx,grid_id,flag,metric,value,robust_z,eef_z_max,prelift_wrist,prelift_elbow,peak_episode_step
95,cell_x02_y02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-13.081354488026012,4.05375270505763,0.07355476749517445,-69.09896295720881,-13.081354488026012,136
95,cell_x02_y02,PEAK_TIMING_OUTLIER,peak_episode_step,136.0,-3.096568181818182,0.07355476749517445,-69.09896295720881,-13.081354488026012,136
98,cell_x02_y02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-17.85162284157493,3.51431162983714,0.06508238234545036,-68.2129398692738,-17.85162284157493,130
98,cell_x02_y02,PEAK_TIMING_OUTLIER,peak_episode_step,130.0,-3.4644772727272724,0.06508238234545036,-68.2129398692738,-17.85162284157493,130
92,cell_x02_y03,EEF_PEAK_OUTLIER,eef_z_max,0.06752919278754271,-4.865717947803559,0.06752919278754271,-99.39223202792081,-46.501334797252305,198
92,cell_x02_y03,WRIST_OUTLIER,action.wrist_flex.pos.mean,-99.39223202792081,-4.942808802015559,0.06752919278754271,-99.39223202792081,-46.501334797252305,198
96,cell_x02_y03,EEF_PEAK_OUTLIER,eef_z_max,0.06846070206216345,-4.823329902197143,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
96,cell_x02_y03,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-7.545314051888206,6.510253582422114,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
96,cell_x02_y03,PEAK_TIMING_OUTLIER,peak_episode_step,123.0,-3.7846944444444444,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
96,cell_x02_y03,WRIST_OUTLIER,action.wrist_flex.pos.mean,-65.52557095614347,3.957518670180505,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
22,cell_x03_y01,EEF_PEAK_OUTLIER,eef_z_max,0.18216745082294383,11.224855304784006,0.18216745082294383,-86.9585918079723,-59.56863854148171,191
24,cell_x03_y01,EEF_PEAK_OUTLIER,eef_z_max,0.1998690066990136,13.098470422678641,0.1998690066990136,-92.17954947731711,-64.68315401944247,189
25,cell_x03_y01,EEF_PEAK_OUTLIER,eef_z_max,0.19369988030859903,12.445501353168249,0.19369988030859903,-87.53707053444602,-56.11915102871981,181
29,cell_x03_y01,EEF_PEAK_OUTLIER,eef_z_max,0.18033941628223446,11.031367615030312,0.18033941628223446,-82.60169081254439,-49.51524526422674,184
33,cell_x03_y01,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-35.27469392256303,2.843480411850347,0.07086645093855459,-73.67553849653764,-35.27469392256303,169
38,cell_x03_y01,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-33.953913601962,3.0347412123962347,0.07301209763523883,-77.27821904962713,-33.953913601962,162
30,cell_x03_y02,EEF_PEAK_OUTLIER,eef_z_max,0.0801806904519097,-4.031124784686518,0.0801806904519097,-74.89107860218395,-28.28438984264027,193
36,cell_x03_y02,EEF_PEAK_OUTLIER,eef_z_max,0.07203140938095029,-4.321227836602821,0.07203140938095029,-100.0,-52.634537089954726,214
36,cell_x03_y02,PEAK_TIMING_OUTLIER,peak_episode_step,214.0,7.08225,0.07203140938095029,-100.0,-52.634537089954726,214
0,cell_x03_y03,EEF_PEAK_OUTLIER,eef_z_max,0.17936322718491013,9.010616627447487,0.17936322718491013,-91.57177873091264,-55.444710124622695,172
1,cell_x03_y03,EEF_PEAK_OUTLIER,eef_z_max,0.2078567643728234,11.483176679905064,0.2078567643728234,-75.00823835893111,-23.61247695576061,155
5,cell_x03_y03,EEF_PEAK_OUTLIER,eef_z_max,0.1779648832838691,8.889273698118997,0.1779648832838691,-75.41097606312145,-29.527891505848277,162
6,cell_x03_y03,EEF_PEAK_OUTLIER,eef_z_max,0.18405142414172704,9.417440407767602,0.18405142414172704,-79.12349492853338,-45.658282886851914,173
8,cell_x03_y03,EEF_PEAK_OUTLIER,eef_z_max,0.16750645983266832,7.981731757412042,0.16750645983266832,-75.3304276899858,-33.99606548656117,165
9,cell_x03_y03,EEF_PEAK_OUTLIER,eef_z_max,0.17088774688503452,8.275146900517516,0.17088774688503452,-72.97257856889205,-26.12055639787154,162
17,cell_x03_y03,WRIST_OUTLIER,action.wrist_flex.pos.mean,-100.0,-2.599124371552008,0.07113025513232299,-100.0,-55.44471047141335,208
37,cell_x04_y02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-28.256287834861062,7.064839923648033,0.08760733201736504,-77.05854311856356,-28.256287834861062,158
2,cell_x04_y03,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-13.622312719171697,2.9232408312177802,0.1919772299905544,-69.67012162642045,-13.622312719171697,152
13,cell_x04_y03,EEF_PEAK_OUTLIER,eef_z_max,0.07517761063196568,-4.445018808436935,0.07517761063196568,-99.5826152454723,-50.59716207330877,202
14,cell_x04_y03,EEF_PEAK_OUTLIER,eef_z_max,0.07523032177153369,-4.44262867789373,0.07523032177153369,-100.0,-54.35576803034002,211
14,cell_x04_y03,PEAK_TIMING_OUTLIER,peak_episode_step,211.0,2.5012708333333333,0.07523032177153369,-100.0,-54.35576803034002,211
