trace_step,chunk_index,raw_wrist_flex,processed_wrist_flex,frame_state_wrist_flex,sent_action_wrist_flex,state_key
96,1,100.0,100.0,100.0,-76.9470443725586,observation.state
97,1,100.0,100.0,100.0,-76.86222076416016,observation.state
98,1,100.0,100.0,100.0,-76.70012664794922,observation.state
99,1,100.0,100.0,100.0,-76.41026306152344,observation.state
100,2,100.0,100.0,100.0,-72.7217788696289,observation.state
101,2,100.0,100.0,100.0,-71.85073852539062,observation.state
102,2,100.0,100.0,100.0,-71.04987335205078,observation.state
103,2,100.0,100.0,100.0,-70.95726013183594,observation.state
104,2,100.0,100.0,100.0,-71.07536315917969,observation.state
105,2,100.0,100.0,100.0,-70.68022918701172,observation.state
106,2,100.0,100.0,100.0,-70.55457305908203,observation.state
107,2,100.0,100.0,100.0,-70.65556335449219,observation.state
108,2,100.0,100.0,100.0,-70.63678741455078,observation.state
109,2,100.0,100.0,100.0,-71.03911590576172,observation.state
110,2,100.0,100.0,100.0,-71.12030792236328,observation.state
111,2,100.0,100.0,100.0,-71.41934204101562,observation.state
112,2,100.0,100.0,100.0,-71.57381439208984,observation.state
113,2,100.0,100.0,100.0,-71.41778564453125,observation.state
114,2,100.0,100.0,100.0,-71.40663146972656,observation.state
115,2,100.0,100.0,100.0,-71.25614166259766,observation.state
116,2,100.0,100.0,100.0,-71.19384002685547,observation.state
117,2,100.0,100.0,100.0,-71.3233642578125,observation.state
118,2,100.0,100.0,100.0,-71.37200164794922,observation.state
119,2,100.0,100.0,100.0,-71.23841857910156,observation.state
120,2,100.0,100.0,100.0,-71.07121276855469,observation.state
121,2,100.0,100.0,100.0,-70.6788101196289,observation.state
122,2,100.0,100.0,100.0,-70.42704772949219,observation.state
123,2,100.0,100.0,100.0,-70.52213287353516,observation.state
124,2,100.0,100.0,100.0,-70.60570526123047,observation.state
125,2,100.0,100.0,100.0,-70.65718841552734,observation.state
126,2,100.0,100.0,100.0,-70.71719360351562,observation.state
127,2,100.0,100.0,100.0,-70.93034362792969,observation.state
128,2,100.0,100.0,100.0,-70.96730041503906,observation.state
129,2,100.0,100.0,100.0,-71.11604309082031,observation.state
130,2,100.0,100.0,100.0,-71.37488555908203,observation.state
131,2,100.0,100.0,100.0,-71.51937103271484,observation.state
132,2,100.0,100.0,100.0,-71.52001190185547,observation.state
133,2,100.0,100.0,100.0,-71.8331069946289,observation.state
134,2,100.0,100.0,100.0,-72.21868896484375,observation.state
135,2,100.0,100.0,100.0,-72.72587585449219,observation.state
136,2,100.0,100.0,100.0,-73.721923828125,observation.state
137,2,100.0,100.0,100.0,-74.16061401367188,observation.state
138,2,100.0,100.0,100.0,-74.15460205078125,observation.state
139,2,100.0,100.0,100.0,-74.17111206054688,observation.state
140,2,100.0,100.0,100.0,-74.28153991699219,observation.state
141,2,100.0,100.0,100.0,-75.02142333984375,observation.state
142,2,100.0,100.0,100.0,-75.55039978027344,observation.state
143,2,100.0,100.0,100.0,-76.47651672363281,observation.state
144,2,100.0,100.0,100.0,-77.02719116210938,observation.state
145,2,100.0,100.0,100.0,-78.57898712158203,observation.state
146,2,100.0,100.0,100.0,-79.32593536376953,observation.state
147,2,100.0,100.0,100.0,-80.82489013671875,observation.state
148,2,100.0,100.0,100.0,-81.78675842285156,observation.state
149,2,100.0,100.0,100.0,-82.40431213378906,observation.state
150,3,100.0,100.0,100.0,-90.1246109008789,observation.state
151,3,100.0,100.0,100.0,-91.27826690673828,observation.state
152,3,100.0,100.0,100.0,-92.01800537109375,observation.state
153,3,100.0,100.0,100.0,-92.96165466308594,observation.state
154,3,100.0,100.0,100.0,-93.2136459350586,observation.state
155,3,100.0,100.0,100.0,-93.37971496582031,observation.state
156,3,100.0,100.0,100.0,-93.59669494628906,observation.state
157,3,100.0,100.0,100.0,-93.84361267089844,observation.state
158,3,100.0,100.0,100.0,-94.12278747558594,observation.state
159,3,100.0,100.0,100.0,-94.47814178466797,observation.state
160,3,100.0,100.0,100.0,-94.76412200927734,observation.state
161,3,100.0,100.0,100.0,-94.86473083496094,observation.state
162,3,100.0,100.0,100.0,-94.92284393310547,observation.state
163,3,100.0,100.0,100.0,-95.08869171142578,observation.state
164,3,100.0,100.0,100.0,-95.10868835449219,observation.state
165,3,100.0,100.0,100.0,-94.9888687133789,observation.state
166,3,100.0,100.0,100.0,-94.83668518066406,observation.state
167,3,100.0,100.0,100.0,-94.813720703125,observation.state
168,3,100.0,100.0,100.0,-94.69541931152344,observation.state
169,3,100.0,100.0,100.0,-94.68714141845703,observation.state
170,3,100.0,100.0,100.0,-94.11869812011719,observation.state
171,3,100.0,100.0,100.0,-93.92213439941406,observation.state
172,3,100.0,100.0,100.0,-93.88763427734375,observation.state
173,3,100.0,100.0,100.0,-93.72297668457031,observation.state
174,3,100.0,100.0,100.0,-93.55821228027344,observation.state
175,3,100.0,100.0,100.0,-93.60334777832031,observation.state
176,3,100.0,100.0,100.0,-93.92826080322266,observation.state
177,3,100.0,100.0,100.0,-94.01593017578125,observation.state
178,3,100.0,100.0,100.0,-94.15967559814453,observation.state
179,3,100.0,100.0,100.0,-94.2793960571289,observation.state
180,3,100.0,100.0,100.0,-94.13976287841797,observation.state
181,3,100.0,100.0,100.0,-94.59939575195312,observation.state
182,3,100.0,100.0,100.0,-95.14241790771484,observation.state
183,3,100.0,100.0,100.0,-95.4168701171875,observation.state
184,3,100.0,100.0,100.0,-95.65007019042969,observation.state
185,3,100.0,100.0,100.0,-95.9999771118164,observation.state
186,3,100.0,100.0,100.0,-96.23578643798828,observation.state
187,3,100.0,100.0,100.0,-96.63123321533203,observation.state
188,3,100.0,100.0,100.0,-97.00003814697266,observation.state
189,3,100.0,100.0,100.0,-97.27303314208984,observation.state
190,3,100.0,100.0,100.0,-97.95455169677734,observation.state
191,3,100.0,100.0,100.0,-98.06583404541016,observation.state
192,3,100.0,100.0,100.0,-98.48638916015625,observation.state
193,3,100.0,100.0,100.0,-98.66215515136719,observation.state
194,3,100.0,100.0,100.0,-99.08013153076172,observation.state
195,3,100.0,100.0,100.0,-99.14092254638672,observation.state
196,3,100.0,100.0,100.0,-98.88655090332031,observation.state
197,3,100.0,100.0,100.0,-98.68462371826172,observation.state
198,3,100.0,100.0,100.0,-98.61659240722656,observation.state
199,3,100.0,100.0,100.0,-98.40338897705078,observation.state
200,4,100.0,100.0,100.0,-99.3650894165039,observation.state
201,4,100.0,100.0,100.0,-99.23186492919922,observation.state
202,4,100.0,100.0,100.0,-99.1540298461914,observation.state
203,4,100.0,100.0,100.0,-98.78364562988281,observation.state
204,4,100.0,100.0,100.0,-99.43875885009766,observation.state
205,4,100.0,100.0,100.0,-99.64098358154297,observation.state
206,4,100.0,100.0,100.0,-99.45916748046875,observation.state
207,4,100.0,100.0,100.0,-98.81800079345703,observation.state
208,4,100.0,100.0,100.0,-97.99891662597656,observation.state
209,4,100.0,100.0,100.0,-97.48018646240234,observation.state
210,4,100.0,100.0,100.0,-96.87680053710938,observation.state
211,4,100.0,100.0,100.0,-96.6185073852539,observation.state
212,4,100.0,100.0,100.0,-96.24246978759766,observation.state
213,4,100.0,100.0,100.0,-96.00083923339844,observation.state
214,4,100.0,100.0,100.0,-95.8398666381836,observation.state
215,4,100.0,100.0,100.0,-95.38988494873047,observation.state
216,4,100.0,100.0,100.0,-94.35792541503906,observation.state
217,4,100.0,100.0,100.0,-92.8868637084961,observation.state
218,4,100.0,100.0,100.0,-92.2523422241211,observation.state
219,4,100.0,100.0,100.0,-91.93062591552734,observation.state
220,4,100.0,100.0,100.0,-91.53591918945312,observation.state
221,4,100.0,100.0,100.0,-91.01471710205078,observation.state
222,4,100.0,100.0,100.0,-89.84203338623047,observation.state
223,4,100.0,100.0,100.0,-89.7230453491211,observation.state
224,4,100.0,100.0,100.0,-89.5215072631836,observation.state
225,4,100.0,100.0,100.0,-89.17658996582031,observation.state
226,4,100.0,100.0,100.0,-88.39604187011719,observation.state
227,4,100.0,100.0,100.0,-86.84276580810547,observation.state
228,4,100.0,100.0,100.0,-86.60115814208984,observation.state
229,4,100.0,100.0,100.0,-85.6791000366211,observation.state
230,4,100.0,100.0,100.0,-85.52684783935547,observation.state
231,4,100.0,100.0,100.0,-85.29110717773438,observation.state
232,4,100.0,100.0,100.0,-84.62528228759766,observation.state
233,4,100.0,100.0,100.0,-84.7216796875,observation.state
