concept,rank_in_concept_cluster,global_id,layer,neuron,similarity_to_seed,seed_layer,seed_neuron,max_logit,top_tokens_joined,exact_pos_match_count,contains_pos_match_count,concept_match_count,neg_conflict_count,gibberish_count,unrelated_count,noisy_or_unrelated_count,concept_match_ratio,noisy_or_unrelated_ratio,exact_pos_tokens,contains_pos_tokens,neg_conflict_tokens,gibberish_tokens,unrelated_tokens,appears_in_multiple_concepts,overlapping_concepts
Low Transport,11,567,0,567,0.847417950630188,5,1904,2.0045158863067627,eroon | berspace | lamydia | ashington | ptomatic | uple | ushima | ription | ercase | oling,0,0,0,0,0,10,10,0.0,1.0,,,,,eroon | berspace | lamydia | ashington | ptomatic | uple | ushima | ription | ercase | oling,False,
Low Transport,12,10234,3,2554,0.8473075032234192,5,1904,2.0872702598571777,skirts | elona | thritis | informally | ortunate | lename | anthus | ountered | ecs | tis,0,0,0,0,0,10,10,0.0,1.0,,,,,skirts | elona | thritis | informally | ortunate | lename | anthus | ountered | ecs | tis,False,
Low Transport,13,24448,9,1408,0.8469858765602112,5,1904,1.5799801349639893,ducive | licenses | ijuana | assertIsInstance | berspace | tysburg | mentioned | oulos | afrost | cko,0,0,0,0,0,10,10,0.0,1.0,,,,,ducive | licenses | ijuana | assertIsInstance | berspace | tysburg | mentioned | oulos | afrost | cko,False,
Low Transport,14,26653,10,1053,0.8465075492858887,5,1904,1.6698048114776611,oceros | antial | LEED | aron | urous | Upvotes | zema | ramew | WARE | ackexchange,0,0,0,0,0,10,10,0.0,1.0,,,,,oceros | antial | LEED | aron | urous | Upvotes | zema | ramew | WARE | ackexchange,False,
Low Transport,15,30079,11,1919,0.8462713360786438,5,1904,2.771348476409912,serializers | ayette | berspace | ertility | absburg | yter | ICEF | elage | heres | juncture,0,0,0,0,0,10,10,0.0,1.0,,,,,serializers | ayette | berspace | ertility | absburg | yter | ICEF | elage | heres | juncture,False,
Low Transport,16,22122,8,1642,0.84592604637146,5,1904,2.1266021728515625,acerb | ands | iture | antioxid | CES | oplankton | ATER | itzer | irmingham | berspace,0,0,0,0,0,10,10,0.0,1.0,,,,,acerb | ands | iture | antioxid | CES | oplankton | ATER | itzer | irmingham | berspace,False,
Low Transport,17,28666,11,506,0.8448605537414551,5,1904,2.4225070476531982,estock | operability | cation | ulous | hoea | hoe | embrance | ropolitan | ackexchange | formance,0,0,0,0,0,10,10,0.0,1.0,,,,,estock | operability | cation | ulous | hoea | hoe | embrance | ropolitan | ackexchange | formance,False,
Low Transport,18,29519,11,1359,0.8445348143577576,5,1904,3.2484829425811768,aloader | ometown | orgetown | ijuana | reponame | WID | adelph | berspace | ulents | unken,0,0,0,0,0,10,10,0.0,1.0,,,,,aloader | ometown | orgetown | ijuana | reponame | WID | adelph | berspace | ulents | unken,False,
Low Transport,19,31998,12,1278,0.8444314002990723,5,1904,2.2422802448272705,reponame | comings | iliency | ackexchange | elior | embrance | uggage | rowsiness | lemagne | ioned,0,0,0,0,0,10,10,0.0,1.0,,,,,reponame | comings | iliency | ackexchange | elior | embrance | uggage | rowsiness | lemagne | ioned,False,
Low Transport,20,22678,8,2198,0.844123363494873,5,1904,2.4998667240142822,irmingham | ophysiology | berspace | mington | ('.// | uders | aphyl | pinephrine | arag | assertAlmostEqual,0,0,0,0,1,9,10,0.0,1.0,,,,('.//,irmingham | ophysiology | berspace | mington | uders | aphyl | pinephrine | arag | assertAlmostEqual,False,
High Transport,1,19071,7,1151,1.0,7,1151,1.6969618797302246,high | higher | above | > | lower | large | > | highest | rising | def,1,2,3,0,2,5,7,0.3,0.7,high,higher | highest,,> | >,above | lower | large | rising | def,False,
High Transport,2,25594,9,2554,1.0,9,2554,1.4063643217086792,hard | high | intra | low | CESS | significant | Intra | high | High | Bard,3,0,3,0,0,7,7,0.3,0.7,high | high | High,,,,hard | intra | low | CESS | significant | Intra | Bard,False,
High Transport,3,5946,2,826,1.0,2,826,1.4289681911468506,high | high | asyncio | search | in | frust | High | ä | center | nee,3,0,3,0,1,6,7,0.3,0.7,high | high | High,,,ä,asyncio | search | in | frust | center | nee,False,
High Transport,4,3950,1,1390,1.0,1,1390,1.3318697214126587,doorstep | conclud | arp | upuncture | High | ler | oons | high | hurd | proverb,2,0,2,0,0,8,8,0.2,0.8,High | high,,,,doorstep | conclud | arp | upuncture | ler | oons | hurd | proverb,False,
High Transport,5,8049,3,369,1.0,3,369,1.7146179676055908,iagn | abets | osate | trl | highest | unsuccessful | highest | Musa | ||- | hythm,0,2,2,0,1,7,8,0.2,0.8,,highest | highest,,||-,iagn | abets | osate | trl | unsuccessful | Musa | hythm,False,
High Transport,6,33694,13,414,1.0,13,414,1.3265480995178223,"}"". | }'. | iest | highest | main | hest | happ | ail | highest | foreground",0,2,2,0,2,6,8,0.2,0.8,,highest | highest,,"}"". | }'.",iest | main | hest | happ | ail | foreground,False,
High Transport,7,3845,1,1285,0.8875792622566223,3,369,2.2707102298736572,firehose | osate | sever | Bluff | amentals | istry | nearest | izontal | beit | ACHE,0,0,0,0,0,10,10,0.0,1.0,,,,,firehose | osate | sever | Bluff | amentals | istry | nearest | izontal | beit | ACHE,False,
High Transport,8,20439,7,2519,0.8854309916496277,3,369,2.9615912437438965,osate | ampsia | alination | TRACT | ropract | opold | izoph | risings | isure | ethoven,0,0,0,0,0,10,10,0.0,1.0,,,,,osate | ampsia | alination | TRACT | ropract | opold | izoph | risings | isure | ethoven,False,
High Transport,9,22197,8,1717,0.8850982189178467,3,369,1.909818410873413,iagn | continence | cosm | ndrome | outward | ruct | ovine | cels | hogs | asgow,0,0,0,0,0,10,10,0.0,1.0,,,,,iagn | continence | cosm | ndrome | outward | ruct | ovine | cels | hogs | asgow,False,
High Transport,10,18253,7,333,0.8848302364349365,3,369,2.6890311241149902,ropract | ])[ | graduates | iagn | ALTH | ikhail | <filename> | EFL | PAA | racuse,0,0,0,0,1,9,10,0.0,1.0,,,,])[,ropract | graduates | iagn | ALTH | ikhail | <filename> | EFL | PAA | racuse,False,
High Transport,11,18818,7,898,0.8842546939849854,3,369,3.348992347717285,esville | risings | ||=|| | osate | phrine | umbai | UX | ilantro | sorption | faiss,0,0,0,0,1,9,10,0.0,1.0,,,,||=||,esville | risings | osate | phrine | umbai | UX | ilantro | sorption | faiss,False,
High Transport,12,18752,7,832,0.8841981887817383,3,369,2.347107410430908,osate | ERIC | |'\ | ?|| | ortium | oclonal | terious | practition | intendent | :||,0,0,0,0,3,7,10,0.0,1.0,,,,|'\ | ?|| | :||,osate | ERIC | ortium | oclonal | terious | practition | intendent,False,
High Transport,13,38628,15,228,0.8835810422897339,3,369,2.555075168609619,forgettable | Ishma | soriasis | ulpt | abets | dprinting | firehose | essori | qdm | ederal,0,0,0,0,0,10,10,0.0,1.0,,,,,forgettable | Ishma | soriasis | ulpt | abets | dprinting | firehose | essori | qdm | ederal,False,
High Transport,14,18514,7,594,0.8827195167541504,3,369,2.9100122451782227,abets | <filename> | olkien | forgettable | CreateModel | reponame | osate | KeyNot | rosine | mares,0,0,0,0,0,10,10,0.0,1.0,,,,,abets | <filename> | olkien | forgettable | CreateModel | reponame | osate | KeyNot | rosine | mares,False,
High Transport,15,26754,10,1154,0.8821525573730469,3,369,2.364670991897583,ceae | iagn | icuous | iasis | aseous | uckland | rapers | firehose | opold | ymal,0,0,0,0,0,10,10,0.0,1.0,,,,,ceae | iagn | icuous | iasis | aseous | uckland | rapers | firehose | opold | ymal,False,
High Transport,16,33934,13,654,0.8812659382820129,3,369,2.910644769668579,oubted | ourgeois | osate | vantages | uthors | idon | iagnosed | uschwitz | izzard | ?||,0,0,0,0,1,9,10,0.0,1.0,,,,?||,oubted | ourgeois | osate | vantages | uthors | idon | iagnosed | uschwitz | izzard,False,
High Transport,17,35921,14,81,0.8809829950332642,3,369,2.4240267276763916,peut | prudence | openhagen | postdocs | mite | rabble | iagn | verte | everal | otrop,0,0,0,0,0,10,10,0.0,1.0,,,,,peut | prudence | openhagen | postdocs | mite | rabble | iagn | verte | everal | otrop,False,
High Transport,18,29031,11,871,0.8805741667747498,3,369,2.7172937393188477,ophila | behavi | transistors | uschwitz | SOFTWARE | osate | ypical | firehose | stuffs | teasp,0,0,0,0,0,10,10,0.0,1.0,,,,,ophila | behavi | transistors | uschwitz | SOFTWARE | osate | ypical | firehose | stuffs | teasp,False,
High Transport,19,20863,8,383,0.880488395690918,3,369,2.4268317222595215,"osate | olkien | |',' | earchers | conclud | ocative | coholic | Upvotes | occus | ,))",0,0,0,0,2,8,10,0.0,1.0,,,,"|',' | ,))",osate | olkien | earchers | conclud | ocative | coholic | Upvotes | occus,False,
High Transport,20,36395,14,555,0.8800271153450012,3,369,2.2975122928619385,osate | iodiversity | herst | thalm | odox | Subthreshold | heumatic | phrine | ulum | abeth,0,0,0,0,0,10,10,0.0,1.0,,,,,osate | iodiversity | herst | thalm | odox | Subthreshold | heumatic | phrine | ulum | abeth,False,
Slow Transport,1,435,0,435,1.0,0,435,1.4060808420181274,size | hang | slower | slow | heavy | sized | arval | new | Hang | Slow,2,1,3,0,0,7,7,0.3,0.7,slow | Slow,slower,,,size | hang | heavy | sized | arval | new | Hang,False,
Slow Transport,2,34736,13,1456,1.0,13,1456,1.0798568725585938,Beng | ende | PubMed | ect | BSE | mixes | slowing | complemented | pitched | slowed,0,2,2,0,0,8,8,0.2,0.8,,slowing | slowed,,,Beng | ende | PubMed | ect | BSE | mixes | complemented | pitched,False,
Slow Transport,3,30317,11,2157,1.0,11,2157,1.3127397298812866,safety | og | Ang | margin | st | safe | safe | ovenant | olkien | for,2,1,3,0,0,7,7,0.3,0.7,safe | safe,safety,,,og | Ang | margin | st | ovenant | olkien | for,False,
Slow Transport,4,22749,8,2269,1.0,8,2269,1.274963617324829,like | arthen | ometown | thello | safest | Safe | inker | radle | highest | stable,1,1,2,0,0,8,8,0.2,0.8,Safe,safest,,,like | arthen | ometown | thello | inker | radle | highest | stable,False,
Slow Transport,5,26933,10,1333,1.0,10,1333,1.0451515913009644,upgrad | etc | etc | extra | safe | lay | ç | surviv | safer | _,1,1,2,0,2,6,8,0.2,0.8,safe,safer,,ç | _,upgrad | etc | etc | extra | lay | surviv,False,
Slow Transport,6,13579,5,779,1.0,5,779,1.0201596021652222,hoses | pav | other | security | protective | doubled | safety | theoretical | Safety | Research,0,2,2,0,0,8,8,0.2,0.8,,safety | Safety,,,hoses | pav | other | security | protective | doubled | theoretical | Research,False,
Slow Transport,7,40667,15,2267,0.8771230578422546,13,1456,1.9932096004486084,postdoc | streng | toget | ccording | diast | deepcopy | gib | atar | Controlling | plog,0,0,0,0,0,10,10,0.0,1.0,,,,,postdoc | streng | toget | ccording | diast | deepcopy | gib | atar | Controlling | plog,False,
Slow Transport,8,33505,13,225,0.8761560320854187,13,1456,2.2263333797454834,subgen | encomp | ardu | toget | acknow | monaster | includ | pomegran | ocument | postdocs,0,0,0,0,0,10,10,0.0,1.0,,,,,subgen | encomp | ardu | toget | acknow | monaster | includ | pomegran | ocument | postdocs,False,
Slow Transport,9,4867,1,2307,0.873974084854126,13,1456,1.4512343406677246,Casp | Moderate | commerc | ventric | `): | lof | RSV | ccording | ermost | interspers,0,0,0,0,1,9,10,0.0,1.0,,,,`):,Casp | Moderate | commerc | ventric | lof | RSV | ccording | ermost | interspers,False,
Slow Transport,10,34419,13,1139,0.8733314275741577,13,1456,2.1515450477600098,"(@ | Guideline | izes | postdocs | NRC | (: | ende | Shock | araoh | ,,,,,,,,",0,0,0,0,3,7,10,0.0,1.0,,,,"(@ | (: | ,,,,,,,,",Guideline | izes | postdocs | NRC | ende | Shock | araoh,False,
Slow Transport,11,29114,11,954,0.8733229041099548,13,1456,2.2761354446411133,"/# | conv | ocyt | strugg | ,,,,,,,, | |') | ende | Sac | STEAM | enric",0,0,0,0,3,7,10,0.0,1.0,,,,"/# | ,,,,,,,, | |')",conv | ocyt | strugg | ende | Sac | STEAM | enric,False,
Slow Transport,12,31951,12,1231,0.871880292892456,13,1456,1.98028564453125,oo | repay | escription | preserv | collab | ordin | appre | criptions | Developed | transist,0,0,0,0,0,10,10,0.0,1.0,,,,,oo | repay | escription | preserv | collab | ordin | appre | criptions | Developed | transist,False,
Slow Transport,13,15700,6,340,0.871344804763794,13,1456,1.8179612159729004,"|'. | varic | [..., | injust | abnorm | ."". | uniqu | psychiat | antioxid | interspers",0,0,0,0,3,7,10,0.0,1.0,,,,"|'. | [..., | ."".",varic | injust | abnorm | uniqu | psychiat | antioxid | interspers,False,
Slow Transport,14,38949,15,549,0.8707796335220337,13,1456,1.612199068069458,"describ | lapt | neighb | –– | resemb | ,,,,,,,, | Leban | neigh | Characterization | reins",0,0,0,0,2,8,10,0.0,1.0,,,,"–– | ,,,,,,,,",describ | lapt | neighb | resemb | Leban | neigh | Characterization | reins,False,
Slow Transport,15,36567,14,727,0.869608998298645,13,1456,2.2077455520629883,"ille | trimes | cerity | ikipedia | BPD | hogs | ,,,,,,,, | firehose | ordin | """""",",0,0,0,0,2,8,10,0.0,1.0,,,,",,,,,,,, | """""",",ille | trimes | cerity | ikipedia | BPD | hogs | firehose | ordin,False,
Slow Transport,16,17414,6,2054,0.8695297837257385,13,1456,1.9405043125152588,brim | interspers | elitis | aution | enthus | TSD | cientious | Eras | pestic | ingred,0,0,0,0,0,10,10,0.0,1.0,,,,,brim | interspers | elitis | aution | enthus | TSD | cientious | Eras | pestic | ingred,False,
Slow Transport,17,29009,11,849,0.8695219159126282,13,1456,2.62001895904541,",,,,,,,, | reponame | pregn | ancock | risings | postdoc | peutics | neighb | ,,,,,,,,,,,,,,,, | dolph",0,0,0,0,2,8,10,0.0,1.0,,,,",,,,,,,, | ,,,,,,,,,,,,,,,,",reponame | pregn | ancock | risings | postdoc | peutics | neighb | dolph,False,
Slow Transport,18,29025,11,865,0.8692781329154968,13,1456,2.068359851837158,strugg | ingred | reluct | Ayurved | ggish | SDS | adolesc | assum | prepar | necks,0,0,0,0,0,10,10,0.0,1.0,,,,,strugg | ingred | reluct | Ayurved | ggish | SDS | adolesc | assum | prepar | necks,False,
Slow Transport,19,24147,9,1107,0.8686184287071228,13,1456,1.7113966941833496,Moroc | ingred | ?|| | strugg | synerg | staking | tering | adays | coerc | ('.//,0,0,0,0,2,8,10,0.0,1.0,,,,?|| | ('.//,Moroc | ingred | strugg | synerg | staking | tering | adays | coerc,False,
Slow Transport,20,15439,6,79,0.8685005903244019,13,1456,2.3522534370422363,trimes | antioxid | Ply | ||$ | ccording | CHAR | commissioning | ↩ | ELTS | wareness,0,0,0,0,2,8,10,0.0,1.0,,,,||$ | ↩,trimes | antioxid | Ply | ccording | CHAR | commissioning | ELTS | wareness,False,
Fast Transport,1,8565,3,885,1.0,3,885,1.4561116695404053,fast | Events | experiment | iner | enas | event | Event | Carthage | fast | Events,2,0,2,0,0,8,8,0.2,0.8,fast | fast,,,,Events | experiment | iner | enas | event | Event | Carthage | Events,False,
Fast Transport,2,18804,7,884,1.0,7,884,1.2177237272262573,risk | spare | ]). | t | force | land | extensions | Risk | risk | state,3,0,3,0,1,6,7,0.3,0.7,risk | Risk | risk,,,]).,spare | t | force | land | extensions | state,False,
Fast Transport,3,19564,7,1644,1.0,7,1644,1.484093427658081,iriam | =\ | peer | ================================ | Vul | Risk | risk | hazard | Pub | tal,2,0,2,0,2,6,8,0.2,0.8,Risk | risk,,,=\ | ================================,iriam | peer | Vul | hazard | Pub | tal,False,
Fast Transport,4,31007,12,287,1.0,12,287,1.4500815868377686," | ref | fastest | media | ‘ | ""— | fast | marketing | stall | ",1,1,2,0,4,4,8,0.2,0.8,fast,fastest,," | ‘ | ""— | ",ref | media | marketing | stall,False,
Fast Transport,5,37834,14,1994,0.9999999403953552,14,1994,1.3603622913360596,tole | faster | fastest | constructor | useum | isure | speed | quicker | subprocess | quick,0,2,2,0,0,8,8,0.2,0.8,,faster | fastest,,,tole | constructor | useum | isure | speed | quicker | subprocess | quick,False,
Fast Transport,6,21215,8,735,0.9999998807907104,8,735,1.2463057041168213,ias | vanishing | scale | sign | h | index | fast | fast | fastest | p,2,1,3,0,0,7,7,0.3,0.7,fast | fast,fastest,,,ias | vanishing | scale | sign | h | index | p,False,
Fast Transport,7,17673,6,2313,0.8197266459465027,7,1644,1.9165364503860474,PROVID | ))[ | ikhail | iriam | Popen | ULD | deen | urface | …) | ||$,0,0,0,0,3,7,10,0.0,1.0,,,,))[ | …) | ||$,PROVID | ikhail | iriam | Popen | ULD | deen | urface,False,
Fast Transport,8,16371,6,1011,0.8187546730041504,7,1644,1.6610004901885986,)' | ilantro | iriam | ikhail | Publisher | plier | abeth | teneg | ilis | sometime,0,0,0,0,1,9,10,0.0,1.0,,,,)',ilantro | iriam | ikhail | Publisher | plier | abeth | teneg | ilis | sometime,False,
Fast Transport,9,27834,10,2234,0.8182519674301147,7,1644,3.8771567344665527,"ikhail | iriam | acerb | iliency | querque | raul | graduates | Reals | ?"". | glades",0,0,0,0,1,9,10,0.0,1.0,,,,"?"".",ikhail | iriam | acerb | iliency | querque | raul | graduates | Reals | glades,False,
Fast Transport,10,19907,7,1987,0.8176189064979553,7,1644,2.325775623321533,iriam | ikhail | ))[ | cerity | auri | ropract | ])[ | emeteries | urai | esterone,0,0,0,0,2,8,10,0.0,1.0,,,,))[ | ])[,iriam | ikhail | cerity | auri | ropract | emeteries | urai | esterone,False,
Fast Transport,11,13380,5,580,0.816742479801178,7,1644,2.3938746452331543,"iriam | ococ | astrous | oflavin | ,,,,,,,, | Leban | aternary | KeyNot | ISTORY | staking",0,0,0,0,1,9,10,0.0,1.0,,,,",,,,,,,,",iriam | ococ | astrous | oflavin | Leban | aternary | KeyNot | ISTORY | staking,False,
Fast Transport,12,11172,4,932,0.8164100646972656,7,1644,1.9623737335205078,iriam | ikhail | uart | lof | stenosis | EVENT | vandalism | uggage | sites | atson,0,0,0,0,0,10,10,0.0,1.0,,,,,iriam | ikhail | uart | lof | stenosis | EVENT | vandalism | uggage | sites | atson,False,
Fast Transport,13,28567,11,407,0.8157859444618225,7,1644,2.343623399734497,aspberries | ikhail | iriam | '% | ondyl | rhizomes | Ayurved | fri | � | ilantro,0,0,0,0,2,8,10,0.0,1.0,,,,'% | �,aspberries | ikhail | iriam | ondyl | rhizomes | Ayurved | fri | ilantro,False,
Fast Transport,14,1611,0,1611,0.8125422596931458,7,1644,2.6966946125030518,iriam | dolph | hots | ebra | nyder | inox | glades | mathemat | ignon | intern,0,0,0,0,0,10,10,0.0,1.0,,,,,iriam | dolph | hots | ebra | nyder | inox | glades | mathemat | ignon | intern,False,
Fast Transport,15,13637,5,837,0.8122456073760986,7,1644,1.9419039487838745,iriam | ]| | __(* | fatig | isation | icals | leveland | enthus | nering | itures,0,0,0,0,2,8,10,0.0,1.0,,,,]| | __(*,iriam | fatig | isation | icals | leveland | enthus | nering | itures,False,
Fast Transport,16,29978,11,1818,0.8115071058273315,7,1644,2.368696928024292,iriam | vironment | phans | ctuaries | pubmed | ynasty | antioxid | cels | ediatr | ethoven,0,0,0,0,0,10,10,0.0,1.0,,,,,iriam | vironment | phans | ctuaries | pubmed | ynasty | antioxid | cels | ediatr | ethoven,False,
Fast Transport,17,1784,0,1784,0.8113264441490173,7,1644,2.6080920696258545,iriam | osaic | osaics | ikhail | nering | ilient | egrad | pathlib | eveloped | PARTIC,0,0,0,0,0,10,10,0.0,1.0,,,,,iriam | osaic | osaics | ikhail | nering | ilient | egrad | pathlib | eveloped | PARTIC,False,
Fast Transport,18,39764,15,1364,0.8100577592849731,7,1644,1.6288248300552368,iriam | MER | uter | conclud | ):** | opards | uter | thereof | plementary | essionals,0,0,0,0,1,9,10,0.0,1.0,,,,):**,iriam | MER | uter | conclud | opards | uter | thereof | plementary | essionals,False,
Fast Transport,19,8673,3,993,0.8099687099456787,7,1644,2.2686238288879395,iriam | lehem | rowsiness | eforestation | antioxid | sonian | pril | earchers | opold | ervoir,0,0,0,0,0,10,10,0.0,1.0,,,,,iriam | lehem | rowsiness | eforestation | antioxid | sonian | pril | earchers | opold | ervoir,False,
Fast Transport,20,39192,15,792,0.8092958927154541,7,1644,1.8962852954864502,"nering | iriam | >` | oriously | uggage | ]// | mary | ktop | ikhail | ,:]",0,0,0,0,3,7,10,0.0,1.0,,,,">` | ]// | ,:]",nering | iriam | oriously | uggage | mary | ktop | ikhail,False,
Green,1,34869,13,1589,1.0,13,1589,2.893624782562256,of | of | Of | Of | OF | OF | abase | ophores | greens | ocardi,0,1,1,0,0,9,9,0.1,0.9,,greens,,,of | of | Of | Of | OF | OF | abase | ophores | ocardi,False,
Green,2,7088,2,1968,1.0,2,1968,2.8647396564483643,olkien | ISTORY | unken | ostering | aughters | aughtered | chism | ellington | greens | akings,0,1,1,1,0,8,9,0.1,0.9,,greens,aughtered,,olkien | ISTORY | unken | ostering | aughters | chism | ellington | akings,False,
Green,3,21478,8,998,1.0,8,998,2.1739461421966553,negie | rowsiness | cutta | olybden | ertiary | greens | aternary | TPS | urtles | ortunate,0,1,1,0,0,9,9,0.1,0.9,,greens,,,negie | rowsiness | cutta | olybden | ertiary | aternary | TPS | urtles | ortunate,False,
Green,4,18789,7,869,0.9999999403953552,7,869,2.1391913890838623,"('.// | ulating | swith | ulose | '}), | greens | oriously | Prev | withstanding | Borne",0,1,1,0,2,7,9,0.1,0.9,,greens,,"('.// | '}),",ulating | swith | ulose | oriously | Prev | withstanding | Borne,False,
Green,5,23903,9,863,0.9999997615814209,9,863,1.7223252058029175,aution | itext | green | icle | rosophila | REEN | ricia | green | ichi | lene,2,0,2,0,0,8,8,0.2,0.8,green | green,,,,aution | itext | icle | rosophila | REEN | ricia | ichi | lene,False,
Green,6,33235,12,2515,0.9999997615814209,12,2515,2.184640645980835,ingly | maker | grams | ingles | greens | cephal | ceph | Fertility | Thomson | έ,0,1,1,0,1,8,9,0.1,0.9,,greens,,έ,ingly | maker | grams | ingles | cephal | ceph | Fertility | Thomson,False,
Green,7,35063,13,1783,0.9442659020423889,2,1968,5.406838417053223,olkien | soriasis | ountains | umbai | CLUD | jango | aughtered | elior | uckingham | ackexchange,0,0,0,1,0,9,10,0.0,1.0,,,aughtered,,olkien | soriasis | ountains | umbai | CLUD | jango | elior | uckingham | ackexchange,False,
Green,8,18319,7,399,0.9374831914901733,2,1968,8.004631996154785,olkien | dprinting | uggage | enfranch | ijuana | emetery | yalgia | firehose | reponame | innitus,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | dprinting | uggage | enfranch | ijuana | emetery | yalgia | firehose | reponame | innitus,False,
Green,9,5989,2,869,0.9374488592147827,2,1968,3.0237925052642822,olkien | viations | ISTORY | raltar | otten | onsai | POSE | cardia | chez | airobi,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | viations | ISTORY | raltar | otten | onsai | POSE | cardia | chez | airobi,False,
Green,10,16676,6,1316,0.9365472197532654,2,1968,3.5620102882385254,olkien | olicies | ISTORY | oughton | aternity | olybdenum | othermia | ternity | reponame | uxley,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | olicies | ISTORY | oughton | aternity | olybdenum | othermia | ternity | reponame | uxley,False,
Green,11,17708,6,2348,0.9347397685050964,2,1968,3.3207013607025146,olkien | ISTORY | aphrag | ortium | iagnosed | unicip | ynasty | abetics | unningham | othermia,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | ISTORY | aphrag | ortium | iagnosed | unicip | ynasty | abetics | unningham | othermia,False,
Green,12,8913,3,1233,0.934664785861969,2,1968,3.8186683654785156,olkien | ISTORY | elona | emetery | izontal | ilantro | ologna | ifflin | ometown | phrine,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | ISTORY | elona | emetery | izontal | ilantro | ologna | ifflin | ometown | phrine,False,
Green,13,25224,9,2184,0.9332608580589294,2,1968,7.524350166320801,olkien | reponame | innitus | ilantro | uggage | emetery | ijuana | ediatrics | aundice | ocese,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | reponame | innitus | ilantro | uggage | emetery | ijuana | ediatrics | aundice | ocese,False,
Green,14,577,0,577,0.9328427314758301,2,1968,1.9658253192901611,olkien | born | junct | urized | ountains | tagged | elescope | rames | ISTORY | engue,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | born | junct | urized | ountains | tagged | elescope | rames | ISTORY | engue,False,
Green,15,32124,12,1404,0.9318816661834717,2,1968,2.5204172134399414,olkien | wali | ellows | arvation | ISTORY | ometown | yalgia | BooleanField | estrian | embrance,0,0,0,0,0,10,10,0.0,1.0,,,,,olkien | wali | ellows | arvation | ISTORY | ometown | yalgia | BooleanField | estrian | embrance,False,
